,geo_value,time_value,children cant covid
3676,6001,2021-06-09,5.4425086
3677,6013,2021-06-09,6.3898652
3678,6019,2021-06-09,14.5251295
3679,6029,2021-06-09,8.4201889
3680,6037,2021-06-09,11.3244611
3681,6059,2021-06-09,7.039933
3682,6065,2021-06-09,7.0263067
3683,6067,2021-06-09,12.508814
3684,6071,2021-06-09,11.7219189
3685,6073,2021-06-09,7.9036197
3686,6075,2021-06-09,4.1637805
3687,6077,2021-06-09,10.6502466
3688,6081,2021-06-09,9.0435152
3689,6085,2021-06-09,10.7411963
3690,6095,2021-06-09,10.4437989
3691,6097,2021-06-09,7.2772218
3692,6099,2021-06-09,4.4153529
3693,6111,2021-06-09,17.0805545
3789,36000,2021-06-09,7.9809148
3790,36005,2021-06-09,14.1675362
3791,36029,2021-06-09,5.6028989
3792,36047,2021-06-09,6.5030617
3793,36055,2021-06-09,8.0577906
3794,36059,2021-06-09,10.3402718
3795,36061,2021-06-09,5.2301705
3796,36067,2021-06-09,5.0861745
3797,36081,2021-06-09,10.3382316
3798,36103,2021-06-09,8.4603761
3799,36119,2021-06-09,6.2804665
3882,6000,2021-06-10,7.3587938
3883,6001,2021-06-10,6.0066553
3884,6013,2021-06-10,6.794516
3885,6019,2021-06-10,12.2976682
3886,6029,2021-06-10,10.9935608
3887,6037,2021-06-10,10.6744616
3888,6059,2021-06-10,7.3217266
3889,6065,2021-06-10,6.4121316
3890,6067,2021-06-10,10.4325445
3891,6071,2021-06-10,12.1874879
3892,6073,2021-06-10,6.774851
3893,6075,2021-06-10,4.4750715
3894,6077,2021-06-10,9.2996031
3895,6081,2021-06-10,9.4337099
3896,6085,2021-06-10,11.3492016
3897,6095,2021-06-10,10.6383978
3898,6097,2021-06-10,6.2882111
3899,6099,2021-06-10,5.7586243
3900,6111,2021-06-10,15.759926
3996,36000,2021-06-10,8.2973989
3997,36005,2021-06-10,11.4319373
3998,36029,2021-06-10,6.6715148
3999,36047,2021-06-10,9.7055078
4000,36055,2021-06-10,7.2081466
4001,36059,2021-06-10,12.6592578
4002,36061,2021-06-10,7.7300579
4003,36067,2021-06-10,5.1571961
4004,36081,2021-06-10,11.7220459
4005,36103,2021-06-10,7.8598052
4006,36119,2021-06-10,9.6549119
4088,6000,2021-06-11,8.244601
4089,6001,2021-06-11,6.195296
4090,6013,2021-06-11,6.8477754
4091,6019,2021-06-11,12.2334014
4092,6029,2021-06-11,18.9931704
4093,6037,2021-06-11,10.1189923
4094,6059,2021-06-11,7.8269172
4095,6065,2021-06-11,6.5421529
4096,6067,2021-06-11,11.0027066
4097,6071,2021-06-11,9.0627445
4098,6073,2021-06-11,5.0584233
4099,6075,2021-06-11,7.4600527
4100,6077,2021-06-11,9.0691537
4101,6081,2021-06-11,9.1118792
4102,6085,2021-06-11,11.7409832
4103,6095,2021-06-11,7.0080255
4104,6097,2021-06-11,7.1962937
4105,6099,2021-06-11,5.6909866
4106,6111,2021-06-11,16.7895205
4201,36000,2021-06-11,8.3616948
4202,36005,2021-06-11,12.7469787
4203,36029,2021-06-11,6.9230566
4204,36047,2021-06-11,9.4895119
4205,36055,2021-06-11,6.9727587
4206,36059,2021-06-11,13.669972
4207,36061,2021-06-11,7.5527542
4208,36067,2021-06-11,6.3715013
4209,36081,2021-06-11,10.0184218
4210,36103,2021-06-11,7.056972
4211,36119,2021-06-11,11.0441125
4291,6000,2021-06-12,8.2913381
4292,6001,2021-06-12,5.9924275
4293,6013,2021-06-12,7.8295974
4294,6019,2021-06-12,11.2199842
4295,6029,2021-06-12,17.9374008
4296,6037,2021-06-12,10.5987071
4297,6059,2021-06-12,7.8064507
4298,6065,2021-06-12,5.3805388
4299,6067,2021-06-12,9.4150547
4300,6071,2021-06-12,9.9301557
4301,6073,2021-06-12,5.8357175
4302,6075,2021-06-12,9.5558659
4303,6077,2021-06-12,10.0503201
4304,6081,2021-06-12,9.9608207
4305,6085,2021-06-12,11.3062167
4306,6095,2021-06-12,7.4505537
4307,6097,2021-06-12,8.8263065
4308,6099,2021-06-12,5.509953
4309,6111,2021-06-12,16.6896454
4403,36000,2021-06-12,7.7518741
4404,36005,2021-06-12,9.3530207
4405,36029,2021-06-12,6.4954938
4406,36047,2021-06-12,9.6556979
4407,36055,2021-06-12,7.3346937
4408,36059,2021-06-12,11.7405538
4409,36061,2021-06-12,7.3623553
4410,36067,2021-06-12,5.9139342
4411,36081,2021-06-12,9.0426115
4412,36103,2021-06-12,6.5631409
4413,36119,2021-06-12,12.4525367
4491,6000,2021-06-13,7.7799108
4492,6001,2021-06-13,5.6627505
4493,6013,2021-06-13,6.0870686
4494,6019,2021-06-13,10.2746465
4495,6029,2021-06-13,17.6406979
4496,6037,2021-06-13,9.5951796
4497,6059,2021-06-13,8.1979187
4498,6065,2021-06-13,4.875015
4499,6067,2021-06-13,9.2619572
4500,6071,2021-06-13,10.2284346
4501,6073,2021-06-13,6.112126
4502,6075,2021-06-13,10.1125261
4503,6077,2021-06-13,8.928333
4504,6081,2021-06-13,8.9953954
4505,6085,2021-06-13,9.3848956
4506,6095,2021-06-13,8.1372428
4507,6097,2021-06-13,7.6207338
4508,6099,2021-06-13,3.7763051
4509,6111,2021-06-13,8.6979732
4602,36000,2021-06-13,7.6510377
4603,36005,2021-06-13,7.5366181
4604,36029,2021-06-13,4.8082977
4605,36047,2021-06-13,9.6427767
4606,36055,2021-06-13,10.4228087
4607,36059,2021-06-13,12.9265304
4608,36061,2021-06-13,5.0602898
4609,36067,2021-06-13,5.3252177
4610,36081,2021-06-13,8.0968905
4611,36103,2021-06-13,6.203181
4612,36119,2021-06-13,11.5814381
4689,6000,2021-06-14,7.7807407
4690,6001,2021-06-14,5.8482238
4691,6013,2021-06-14,6.3728945
4692,6019,2021-06-14,11.6110048
4693,6029,2021-06-14,17.8782858
4694,6037,2021-06-14,9.6445296
4695,6059,2021-06-14,9.9595054
4696,6065,2021-06-14,5.7955836
4697,6067,2021-06-14,6.3990315
4698,6071,2021-06-14,11.6717575
4699,6073,2021-06-14,5.9006093
4700,6075,2021-06-14,9.7720339
4701,6077,2021-06-14,6.4942188
4702,6081,2021-06-14,8.0382526
4703,6085,2021-06-14,8.0007141
4704,6095,2021-06-14,8.456234
4705,6097,2021-06-14,6.9250659
4706,6099,2021-06-14,6.4734099
4707,6111,2021-06-14,6.2866707
4797,36000,2021-06-14,7.9170705
4798,36005,2021-06-14,11.0270916
4799,36029,2021-06-14,5.2891019
4800,36047,2021-06-14,9.0591497
4801,36055,2021-06-14,10.9946903
4802,36059,2021-06-14,10.9537249
4803,36061,2021-06-14,6.873183
4804,36067,2021-06-14,5.0281688
4805,36081,2021-06-14,7.866894
4806,36103,2021-06-14,6.1432737
